id_interaccion	id_lead	id_deal	id_vendedor	tipo_interaccion	resultado	numero_toque	timestamp	duracion_seg	notas
77	21		1	Correo	No Contesto	2	2026-01-15 03:55:57		
78	21		1	Correo	No Contesto	3	2026-01-16 16:48:47		
79	22		1	WhatsApp	No Contesto	1	2026-01-22 01:24:46		
80	22		1	Telefono	No Contesto	2	2026-01-19 17:35:33		
81	22		1	WhatsApp	No Contesto	3	2026-01-29 09:41:14		
82	22		1	WhatsApp	No Contesto	4	2026-01-16 12:22:06		Sin respuesta
83	23		2	Correo	Contesto	1	2026-02-10 12:29:51		Positivo, agenda follow-up
84	23		2	Correo	No Contesto	2	2026-02-05 03:20:22		
85	23		2	WhatsApp	No Contesto	3	2026-02-03 17:07:38		
86	24		1	Telefono	Contesto	1	2026-01-04 03:15:15	570	
87	24		1	Telefono	Contesto	2	2026-01-06 11:06:21	584	Interesado, pide más info
88	24		1	Telefono	No Contesto	3	2026-01-08 07:05:02		
89	24		1	WhatsApp	Contesto	4	2026-01-19 23:11:52		
90	24		1	Telefono	No Contesto	5	2026-01-12 18:51:06		
91	25		3	Telefono	No Contesto	1	2026-01-27 15:02:57		
92	25		3	Correo	Contesto	2	2026-01-25 10:31:58		Disponible siguiente semana
93	25		3	WhatsApp	No Contesto	3	2026-02-09 14:13:39		
94	25		3	Telefono	Contesto	4	2026-01-27 21:18:48	596	
95	26		4	Telefono	No Contesto	1	2026-01-18 19:28:09		
96	26		4	Correo	No Contesto	2	2026-01-24 20:06:37		
97	26		4	WhatsApp	Contesto	3	2026-02-02 03:38:52		
98	26		4	Telefono	No Contesto	4	2026-01-24 19:08:35		
99	28		2	WhatsApp	No Contesto	1	2026-01-27 08:33:55		
100	28		2	WhatsApp	No Contesto	2	2026-01-27 14:56:47		Llamada breve, pide callback
101	28		2	Correo	No Contesto	3	2026-01-29 08:15:55		
102	28		2	Telefono	No Contesto	4	2026-01-28 19:22:49		
103	29		3	Correo	Contesto	1	2026-01-27 07:01:03		
104	29		3	Telefono	No Contesto	2	2026-01-24 09:20:15		Sin respuesta
105	29		3	WhatsApp	Contesto	3	2026-01-30 10:08:58		
106	29		3	Correo	No Contesto	4	2026-01-25 07:10:43		
107	30		2	WhatsApp	No Contesto	1	2026-01-12 14:56:55		
108	31		3	WhatsApp	No Contesto	1	2026-01-27 01:17:32		
109	31		3	WhatsApp	No Contesto	2	2026-01-21 16:15:44		
110	31		3	WhatsApp	Contesto	3	2026-01-20 07:27:57		
111	32		1	WhatsApp	Contesto	1	2026-01-17 23:28:58		
112	32		1	WhatsApp	No Contesto	2	2026-01-26 18:45:14		
113	32		1	WhatsApp	Contesto	3	2026-01-29 09:15:58		
114	32		1	Telefono	Contesto	4	2026-01-29 08:15:54	485	
115	32		1	WhatsApp	No Contesto	5	2026-01-29 18:55:12		
116	33		4	Telefono	No Contesto	1	2026-01-31 07:22:12		Línea ocupada
117	33		4	Correo	Contesto	2	2026-02-11 03:38:14		
118	33		4	WhatsApp	No Contesto	3	2026-02-18 06:26:19		
119	33		4	Correo	No Contesto	4	2026-02-21 00:28:57		
120	34		2	Correo	No Contesto	1	2026-01-20 21:24:53		
121	34		2	Correo	No Contesto	2	2026-01-25 13:46:52		Llamada breve, pide callback
122	34		2	Telefono	No Contesto	3	2026-02-02 03:26:25		
123	34		2	WhatsApp	No Contesto	4	2026-02-04 05:31:40		
124	34		2	WhatsApp	No Contesto	5	2026-02-05 06:36:37		Buzón de voz
125	34		2	Telefono	No Contesto	6	2026-01-28 00:46:44		
126	35		3	Telefono	No Contesto	1	2026-01-13 08:58:06		
127	35		3	WhatsApp	No Contesto	2	2026-01-16 04:20:37		
128	35		3	Correo	No Contesto	3	2026-01-13 20:27:23		Línea ocupada
129	35		3	WhatsApp	No Contesto	4	2026-01-09 18:56:25		Sin respuesta
130	36		4	WhatsApp	No Contesto	1	2026-01-16 18:40:00		
131	36		4	Telefono	No Contesto	2	2026-01-25 08:43:50		
132	36		4	Telefono	No Contesto	3	2026-01-23 19:00:24		Sin respuesta
133	36		4	Correo	No Contesto	4	2026-01-21 15:27:52		
134	36		4	WhatsApp	Contesto	5	2026-01-22 17:39:10		Confirmó interés
135	36		4	Telefono	No Contesto	6	2026-01-19 12:22:25		Llamada breve, pide callback
136	37		1	WhatsApp	No Contesto	1	2026-01-16 22:43:58		
137	37		1	Telefono	No Contesto	2	2026-01-17 12:37:33		
138	38		3	WhatsApp	Contesto	1	2026-01-03 05:20:08		
139	39		5	WhatsApp	Contesto	1	2026-02-02 20:23:55		
140	39		5	Telefono	Contesto	2	2026-01-24 07:44:35	416	
141	39		5	Correo	Contesto	3	2026-01-27 02:36:50		Respondió bien, buen perfil
142	40		4	Telefono	No Contesto	1	2026-01-26 19:12:39		Buzón de voz
143	40		4	WhatsApp	No Contesto	2	2026-01-26 23:52:23		
144	40		4	WhatsApp	No Contesto	3	2026-01-28 19:38:21		
145	40		4	WhatsApp	No Contesto	4	2026-01-28 11:55:30		
146	40		4	Correo	No Contesto	5	2026-01-28 05:46:47		
147	40		4	WhatsApp	Contesto	6	2026-01-28 05:58:55		
148	40		4	Telefono	No Contesto	7	2026-01-28 23:39:32		
149	40		4	WhatsApp	No Contesto	8	2026-01-29 10:03:35		Sin respuesta
150	41		3	WhatsApp	Contesto	1	2026-02-06 16:27:25		
151	41		3	Telefono	No Contesto	2	2026-01-24 14:01:26		Sin respuesta
152	41		3	WhatsApp	No Contesto	3	2026-02-01 07:11:09		
153	41		3	Correo	No Contesto	4	2026-01-27 16:39:26		
154	41		3	WhatsApp	Contesto	5	2026-01-24 19:29:35		
155	42		2	Telefono	Contesto	1	2026-01-03 08:06:33	462	
156	42		2	Correo	No Contesto	2	2026-01-04 22:55:11		
157	42		2	Telefono	No Contesto	3	2026-01-11 10:40:05		
158	42		2	WhatsApp	No Contesto	4	2026-01-13 20:27:49		
159	43		3	WhatsApp	No Contesto	1	2026-01-30 06:33:47		Buzón de voz
160	44		4	Telefono	Contesto	1	2026-01-12 03:10:59	265	
161	44		4	Telefono	No Contesto	2	2026-01-13 22:46:59		
162	44		4	WhatsApp	No Contesto	3	2026-01-10 12:10:53		
163	44		4	Telefono	Contesto	4	2026-01-12 07:46:25	175	Interesado, pide más info
164	44		4	WhatsApp	No Contesto	5	2026-01-15 19:03:13		Buzón de voz
165	44		4	Telefono	No Contesto	6	2026-01-13 06:06:31		
166	44		4	WhatsApp	No Contesto	7	2026-01-15 18:58:41		
167	45		2	Telefono	No Contesto	1	2026-01-17 03:41:35		No disponible
168	45		2	WhatsApp	No Contesto	2	2026-01-17 21:23:22		
169	45		2	Telefono	No Contesto	3	2026-01-24 16:04:36		
170	45		2	WhatsApp	No Contesto	4	2026-01-26 17:24:16		
171	45		2	Telefono	No Contesto	5	2026-01-19 20:56:20		
172	46		2	WhatsApp	No Contesto	1	2026-01-18 13:40:09		
173	47		2	Correo	No Contesto	1	2026-01-14 16:45:07		
174	47		2	WhatsApp	No Contesto	2	2026-01-12 01:07:30		
175	48		3	Correo	No Contesto	1	2026-02-08 20:55:32		
176	48		3	Telefono	Contesto	2	2026-02-06 14:51:23	96	Quiere cotización
177	48		3	WhatsApp	No Contesto	3	2026-02-08 01:16:45		
178	48		3	WhatsApp	Contesto	4	2026-02-13 11:43:36		
179	48		3	WhatsApp	No Contesto	5	2026-02-08 16:54:37		
180	48		3	WhatsApp	No Contesto	6	2026-02-16 09:14:42		
181	49		1	Telefono	No Contesto	1	2026-02-02 08:32:32		
182	50		4	Telefono	Contesto	1	2026-01-21 10:22:32	190	
183	50		4	WhatsApp	No Contesto	2	2026-01-06 21:17:43		
184	50		4	Telefono	No Contesto	3	2026-01-09 17:07:49		
185	50		4	WhatsApp	No Contesto	4	2026-01-14 23:15:53		
186	50		4	WhatsApp	Contesto	5	2026-01-17 04:52:55		
187	50		4	WhatsApp	Contesto	6	2026-01-11 07:14:06		Buena conversación, agenda demo
188	51		3	Correo	Contesto	1	2026-01-15 06:56:42		
189	51		3	WhatsApp	No Contesto	2	2026-01-12 11:07:48		Buzón de voz
190	51		3	WhatsApp	No Contesto	3	2026-01-14 06:00:34		
191	52		3	Telefono	No Contesto	1	2026-01-14 02:53:58		
192	52		3	Telefono	No Contesto	2	2026-01-13 15:56:22		
193	52		3	WhatsApp	No Contesto	3	2026-01-14 03:40:25		Línea ocupada
194	52		3	Telefono	No Contesto	4	2026-01-14 10:55:13		
195	52		3	Correo	No Contesto	5	2026-01-14 22:55:12		
196	52		3	WhatsApp	No Contesto	6	2026-01-15 10:55:12		
197	53		2	Telefono	No Contesto	1	2026-02-10 05:23:02		
198	53		2	WhatsApp	No Contesto	2	2026-02-04 21:32:00		
199	53		2	WhatsApp	No Contesto	3	2026-02-03 12:11:35		
200	54		4	WhatsApp	No Contesto	1	2026-02-05 22:25:26		
201	55		5	Telefono	Contesto	1	2026-01-19 16:28:00	161	
202	55		5	WhatsApp	No Contesto	2	2026-01-19 20:38:32		
203	55		5	Telefono	No Contesto	3	2026-01-19 15:59:51		
204	56		5	Telefono	No Contesto	1	2026-02-10 14:58:07		
205	56		5	Correo	Contesto	2	2026-02-05 08:42:56		
206	56		5	WhatsApp	No Contesto	3	2026-02-11 18:38:21		
207	56		5	Correo	No Contesto	4	2026-02-07 19:53:34		Llamada breve, pide callback
208	57		2	WhatsApp	Contesto	1	2026-02-08 09:06:04		
209	57		2	Telefono	Contesto	2	2026-02-14 07:12:43	596	Respondió bien, buen perfil
210	58		5	WhatsApp	Contesto	1	2026-02-04 20:19:01		
211	58		5	WhatsApp	Contesto	2	2026-02-09 00:56:07		
212	58		5	Telefono	Contesto	3	2026-02-15 01:25:14	41	Respondió bien, buen perfil
213	58		5	Correo	No Contesto	4	2026-02-05 15:52:01		Llamada breve, pide callback
214	58		5	WhatsApp	Contesto	5	2026-02-25 09:43:55		
215	58		5	Telefono	No Contesto	6	2026-02-14 11:07:45		
216	59		4	Telefono	No Contesto	1	2026-01-12 02:34:09		
217	59		4	WhatsApp	No Contesto	2	2026-01-11 18:15:15		
218	59		4	Correo	No Contesto	3	2026-01-15 06:22:14		
219	59		4	Telefono	No Contesto	4	2026-01-19 21:23:53		
220	60		4	WhatsApp	Contesto	1	2026-01-06 10:46:50		Quiere cotización
221	60		4	Telefono	No Contesto	2	2026-01-07 13:48:22		
222	61		2	WhatsApp	Contesto	1	2026-01-22 05:43:56		
223	61		2	WhatsApp	No Contesto	2	2026-01-21 10:06:29		
224	61		2	Telefono	No Contesto	3	2026-01-21 10:20:24		
225	61		2	Correo	No Contesto	4	2026-01-22 19:37:05		
226	61		2	WhatsApp	Contesto	5	2026-01-22 12:42:19		
227	63		4	Correo	No Contesto	1	2026-01-28 08:47:53		Buzón de voz
228	63		4	WhatsApp	No Contesto	2	2026-01-29 20:53:39		
229	63		4	Telefono	No Contesto	3	2026-01-31 15:13:41		Llamada breve, pide callback
230	63		4	WhatsApp	No Contesto	4	2026-01-25 15:14:39		
231	63		4	Telefono	Contesto	5	2026-01-24 17:30:06	364	
232	64		4	WhatsApp	Contesto	1	2026-01-19 08:53:48		
233	65		4	Telefono	No Contesto	1	2026-01-27 01:10:42		
234	65		4	Correo	No Contesto	2	2026-01-11 10:10:50		
235	65		4	WhatsApp	No Contesto	3	2026-01-09 12:07:46		
236	65		4	Telefono	No Contesto	4	2026-01-18 19:38:04		
237	65		4	Telefono	Contesto	5	2026-01-25 00:10:28	575	Positivo, agenda follow-up
238	66		1	Correo	No Contesto	1	2026-01-14 04:03:06		
239	66		1	Telefono	Contesto	2	2026-01-09 21:43:29	79	
240	66		1	WhatsApp	No Contesto	3	2026-01-28 08:46:53		
241	66		1	Telefono	Contesto	4	2026-01-12 00:50:46	44	
242	66		1	Telefono	No Contesto	5	2026-01-21 21:16:08		
243	67		1	WhatsApp	No Contesto	1	2026-01-21 06:38:46		
244	67		1	Telefono	No Contesto	2	2026-01-25 15:25:16		
245	67		1	WhatsApp	No Contesto	3	2026-01-27 18:59:20		
246	67		1	Telefono	Contesto	4	2026-01-23 00:42:28	361	Quiere cotización
247	68		3	Telefono	Contesto	1	2026-01-25 23:52:34	97	
248	69		3	WhatsApp	No Contesto	1	2026-01-15 07:19:08		
249	69		3	WhatsApp	No Contesto	2	2026-01-18 10:16:09		
250	69		3	Telefono	No Contesto	3	2026-01-19 08:24:35		
251	70		1	WhatsApp	No Contesto	1	2026-01-15 04:02:48		
252	70		1	Correo	No Contesto	2	2026-01-14 07:38:12		
253	70		1	WhatsApp	No Contesto	3	2026-01-15 19:58:53		
254	70		1	Telefono	No Contesto	4	2026-01-16 02:03:31		
255	71		5	WhatsApp	Contesto	1	2026-01-25 13:40:39		Disponible siguiente semana
256	71		5	WhatsApp	Contesto	2	2026-02-05 21:36:48		
257	71		5	WhatsApp	No Contesto	3	2026-01-28 20:00:25		Llamada breve, pide callback
258	71		5	Telefono	Contesto	4	2026-02-05 08:19:04	68	Positivo, agenda follow-up
259	71		5	WhatsApp	No Contesto	5	2026-02-11 21:08:35		Línea ocupada
260	71		5	WhatsApp	No Contesto	6	2026-02-16 13:34:39		
261	71		5	Telefono	Contesto	7	2026-02-13 00:08:58	380	Disponible siguiente semana
262	71		5	Telefono	No Contesto	8	2026-02-21 09:57:45		
263	73		2	WhatsApp	Contesto	1	2026-01-13 11:33:57		Positivo, agenda follow-up
264	73		2	Telefono	No Contesto	2	2026-01-13 05:14:28		
265	73		2	Telefono	No Contesto	3	2026-01-14 22:18:23		
266	73		2	Telefono	No Contesto	4	2026-01-14 07:35:09		
267	73		2	Telefono	No Contesto	5	2026-01-14 17:48:54		
268	73		2	Telefono	No Contesto	6	2026-01-15 00:08:42		
269	74		5	WhatsApp	No Contesto	1	2026-01-18 19:37:03		
270	74		5	WhatsApp	No Contesto	2	2026-01-21 10:43:07		
271	75		2	WhatsApp	No Contesto	1	2026-01-28 00:55:04		
272	76		2	Correo	No Contesto	1	2026-01-26 19:44:51		
273	76		2	WhatsApp	Contesto	2	2026-02-09 22:27:40		
274	76		2	Telefono	No Contesto	3	2026-02-08 08:25:57		
275	76		2	Telefono	No Contesto	4	2026-02-10 00:08:15		
276	77		1	Telefono	No Contesto	1	2026-02-01 14:11:28		
277	77		1	Telefono	Contesto	2	2026-02-02 10:08:52	413	
278	77		1	Correo	No Contesto	3	2026-02-03 15:43:58		
279	77		1	WhatsApp	No Contesto	4	2026-02-03 16:31:38		Buzón de voz
280	78		1	WhatsApp	No Contesto	1	2026-01-21 14:08:26		
281	79		3	WhatsApp	No Contesto	1	2026-01-24 00:35:40		
282	79		3	WhatsApp	No Contesto	2	2026-01-23 15:24:49		
283	79		3	Correo	No Contesto	3	2026-01-24 08:02:08		
284	79		3	Correo	No Contesto	4	2026-01-24 12:14:26		
285	79		3	WhatsApp	No Contesto	5	2026-01-25 07:30:12		
286	80		2	Telefono	No Contesto	1	2026-01-11 23:37:04		Buzón de voz
287	80		2	WhatsApp	No Contesto	2	2026-01-23 22:51:24		
288	80		2	Correo	Contesto	3	2026-01-14 07:32:11		
289	81		2	Correo	Contesto	1	2026-02-18 23:34:09		
290	81		2	WhatsApp	No Contesto	2	2026-02-26 08:55:47		
291	81		2	WhatsApp	No Contesto	3	2026-02-14 19:17:10		Sin respuesta
292	82		3	Correo	Contesto	1	2026-02-12 13:32:20		
293	82		3	WhatsApp	Contesto	2	2026-02-11 01:37:22		
294	82		3	Telefono	Contesto	3	2026-02-23 16:14:33	567	
295	82		3	Telefono	No Contesto	4	2026-02-12 10:56:47		
296	82		3	WhatsApp	Contesto	5	2026-02-13 05:27:04		
297	82		3	Telefono	No Contesto	6	2026-02-15 05:05:24		
298	82		3	Telefono	Contesto	7	2026-02-14 16:59:10	295	
299	83		4	WhatsApp	No Contesto	1	2026-02-17 07:40:35		
300	83		4	Telefono	Contesto	2	2026-02-24 08:06:30	157	Confirmó interés
301	83		4	Telefono	Contesto	3	2026-02-27 10:42:42	133	Confirmó interés
302	83		4	WhatsApp	Contesto	4	2026-03-02 07:21:52		
303	83		4	Telefono	Contesto	5	2026-03-07 21:18:52	37	
304	84		5	Correo	No Contesto	1	2026-03-02 07:50:51		
305	84		5	Telefono	Contesto	2	2026-02-25 05:41:54	381	
306	84		5	Correo	No Contesto	3	2026-02-27 01:57:18		
307	84		5	Telefono	Contesto	4	2026-02-24 06:28:39	132	Respondió bien, buen perfil
308	84		5	WhatsApp	No Contesto	5	2026-02-15 11:29:22		Buzón de voz
309	85		5	Telefono	No Contesto	1	2026-03-02 07:42:16		
310	85		5	WhatsApp	No Contesto	2	2026-03-05 13:43:28		
311	85		5	WhatsApp	Contesto	3	2026-03-04 05:09:19		Confirmó interés
312	88		1	Correo	No Contesto	1	2026-02-07 01:03:38		
313	88		1	WhatsApp	Contesto	2	2026-02-07 03:32:42		
314	88		1	Telefono	No Contesto	3	2026-02-06 19:40:13		
315	88		1	Correo	No Contesto	4	2026-02-06 18:22:44		
316	89		2	WhatsApp	No Contesto	1	2026-02-26 10:07:27		
317	89		2	WhatsApp	Contesto	2	2026-02-25 03:02:06		
318	89		2	Telefono	No Contesto	3	2026-02-26 20:38:27		
319	89		2	WhatsApp	No Contesto	4	2026-02-16 20:21:37		
320	90		5	Telefono	Contesto	1	2026-02-17 08:51:14	121	Positivo, agenda follow-up
321	90		5	Telefono	No Contesto	2	2026-02-12 16:33:12		
322	90		5	WhatsApp	Contesto	3	2026-02-12 08:29:35		
323	91		1	WhatsApp	No Contesto	1	2026-03-04 06:58:41		
324	91		1	Telefono	No Contesto	2	2026-02-22 20:17:10		
325	91		1	WhatsApp	No Contesto	3	2026-03-05 13:03:32		
326	91		1	Correo	No Contesto	4	2026-02-27 16:14:14		
327	91		1	WhatsApp	No Contesto	5	2026-03-01 12:27:31		
328	91		1	Telefono	Contesto	6	2026-02-21 12:59:14	144	Positivo, agenda follow-up
329	91		1	WhatsApp	Contesto	7	2026-02-22 17:32:47		
330	92		2	Correo	No Contesto	1	2026-02-21 13:05:54		
331	92		2	WhatsApp	Contesto	2	2026-03-03 09:15:14		
332	92		2	Telefono	Contesto	3	2026-03-10 22:51:53	159	
333	92		2	WhatsApp	Contesto	4	2026-03-04 13:25:44		Respondió bien, buen perfil
334	92		2	WhatsApp	Contesto	5	2026-03-02 16:03:18		
335	92		2	WhatsApp	No Contesto	6	2026-03-10 13:31:18		
336	93		1	WhatsApp	Contesto	1	2026-02-22 19:29:11		Respondió bien, buen perfil
337	93		1	WhatsApp	No Contesto	2	2026-02-17 13:44:45		
338	93		1	WhatsApp	No Contesto	3	2026-02-19 11:57:09		
339	94		2	Correo	No Contesto	1	2026-02-25 02:48:28		
340	94		2	Telefono	No Contesto	2	2026-02-24 11:58:51		
341	94		2	WhatsApp	Contesto	3	2026-02-24 12:25:51		
342	94		2	WhatsApp	No Contesto	4	2026-03-04 15:28:56		
343	94		2	WhatsApp	No Contesto	5	2026-03-06 11:11:09		
344	96		3	WhatsApp	Contesto	1	2026-03-23 21:18:09		
345	96		3	Telefono	No Contesto	2	2026-03-25 23:01:14		
346	96		3	Telefono	No Contesto	3	2026-03-13 01:05:47		
347	96		3	Telefono	Contesto	4	2026-03-22 04:54:36	328	
348	96		3	Telefono	No Contesto	5	2026-03-08 18:46:45		
349	96		3	Telefono	No Contesto	6	2026-03-04 17:36:09		
350	96		3	Correo	No Contesto	7	2026-03-21 00:26:42		
351	96		3	Telefono	Contesto	8	2026-03-18 01:06:35	515	Buena conversación, agenda demo
352	97		1	Correo	No Contesto	1	2026-03-03 02:13:41		
353	97		1	Telefono	No Contesto	2	2026-02-23 03:16:31		No disponible
354	98		4	WhatsApp	No Contesto	1	2026-02-24 21:24:04		
355	98		4	WhatsApp	No Contesto	2	2026-03-09 11:39:08		
356	98		4	WhatsApp	No Contesto	3	2026-03-09 11:45:13		
357	98		4	WhatsApp	No Contesto	4	2026-02-22 11:40:45		Buzón de voz
358	98		4	Telefono	No Contesto	5	2026-03-07 01:52:13		
359	98		4	WhatsApp	No Contesto	6	2026-03-06 20:14:53		
360	98		4	WhatsApp	No Contesto	7	2026-02-28 02:25:00		
361	99		4	Telefono	Contesto	1	2026-02-27 20:14:17	95	
362	99		4	Correo	No Contesto	2	2026-03-01 07:34:09		
363	99		4	Telefono	No Contesto	3	2026-03-03 09:45:03		
364	99		4	WhatsApp	Contesto	4	2026-03-04 11:49:14		
365	99		4	Correo	No Contesto	5	2026-02-28 09:56:11		
366	99		4	Correo	No Contesto	6	2026-03-05 16:00:34		
367	99		4	Telefono	No Contesto	7	2026-03-02 17:03:13		No disponible
368	100		5	Telefono	Contesto	1	2026-03-10 06:27:21	65	Buena conversación, agenda demo
369	100		5	WhatsApp	Contesto	2	2026-03-06 15:14:25		
370	100		5	Correo	Contesto	3	2026-03-13 09:31:57		Disponible siguiente semana
371	100		5	Correo	Contesto	4	2026-03-12 06:26:43		
372	101		5	WhatsApp	Contesto	1	2026-02-15 13:49:45		
373	101		5	WhatsApp	No Contesto	2	2026-02-19 20:16:08		
374	102		2	Telefono	Contesto	1	2026-03-19 03:19:56	250	
375	102		2	WhatsApp	Contesto	2	2026-03-08 03:27:43		Positivo, agenda follow-up
376	102		2	WhatsApp	Contesto	3	2026-03-06 02:49:14		Positivo, agenda follow-up
377	102		2	Correo	Contesto	4	2026-03-02 10:47:25		
378	102		2	WhatsApp	No Contesto	5	2026-03-04 09:44:13		
379	102		2	Telefono	No Contesto	6	2026-03-16 19:06:37		
380	102		2	Telefono	No Contesto	7	2026-03-17 21:12:24		
381	103		5	WhatsApp	No Contesto	1	2026-02-10 15:34:28		
382	103		5	WhatsApp	No Contesto	2	2026-02-15 03:15:43		
383	103		5	Telefono	Contesto	3	2026-02-10 10:53:07	591	
384	104		3	WhatsApp	Contesto	1	2026-02-11 20:28:55		
385	104		3	Telefono	No Contesto	2	2026-02-12 06:18:08		Llamada breve, pide callback
386	104		3	Correo	Contesto	3	2026-02-12 10:15:02		
387	104		3	Telefono	No Contesto	4	2026-02-12 20:20:22		
388	105		4	Telefono	No Contesto	1	2026-03-10 11:33:02		
389	105		4	WhatsApp	No Contesto	2	2026-02-26 06:11:06		
390	105		4	Correo	No Contesto	3	2026-03-05 23:19:20		
