id_deal	id_lead	id_contacto	id_vendedor_ae	id_producto	status_venta	proyeccion	monto_proyeccion	monto_apartado	monto_cierre	fecha_pase_ventas	fecha_primer_contacto_ae	fecha_cierre	razon_perdida	descuento_pct	es_recompra	es_cliente_activo	producto_cierre	fuente_origen	tipo_transaccion	notas_vendedor
37	251	251	6	3	Perdido	Media	17661	0	0	2026-03-06 07:09:52	2026-03-06 11:09:52	2026-03-26 07:09:52	Sin presupuesto	0	False	False		Evento	Renovación	Pidió descuento adicional
38	253	253	6	33	Stand-by	Baja	43944	0	0	2026-03-07 04:01:15	2026-03-08 22:01:15			15	True	False		Inbound	Upgrade	Necesita aprobación de junta
39	255	255	6	55	Perdido	Media	38749	0	0	2026-03-09 19:23:20	2026-03-10 20:23:20	2026-03-21 19:23:20	Producto no se ajusta	0	True	False		Outbound	Nueva venta	Interesado en paquete premium
40	256	256	6	60	Apartado	Media	13077	1307	0	2026-03-08 23:27:39	2026-03-09 19:27:39			5	False	False		Evento	Nueva venta	
41	257	257	7	20	No interesado	Baja	37958	0	0	2026-03-09 02:09:01	2026-03-09 10:09:01			0	False	False		Partner	Nueva venta	Quiere cerrar antes de fin de mes
42	260	260	7	12	Vendido	Media	24120	0	20505	2026-03-08 22:21:39	2026-03-10 07:21:39	2026-03-31 22:21:39		0	False	False	1 Year Membership	Outbound	Nueva venta	Presupuesto limitado este trimestre
43	267	267	7	47	Vendido	Baja	7663	0	5737	2026-03-08 06:46:07	2026-03-08 20:46:07	2026-03-31 06:46:07		20	False	False	Premium Package	Inbound	Cross-sell	
44	268	268	7	7	Apartado	Media	15917	0	0	2026-03-04 09:26:52	2026-03-06 04:26:52			15	False	False		Referido	Re-compra	Esperando respuesta de dirección
45	276	276	6	54	Propuesta enviada	Media	38533	0	0	2026-03-10 04:53:29	2026-03-11 08:53:29			0	False	False		Inbound	Renovación	Muy interesado, buen perfil
46	277	277	7	2	No contesta	Media	44514	0	0	2026-03-07 03:38:46	2026-03-08 09:38:46			15	False	False		Partner	Nueva venta	
47	278	278	6	38	Vendido	Media	38279	11483	35131	2026-03-07 02:07:25	2026-03-07 13:07:25	2026-04-02 02:07:25		20	True	False	Premium Package	Inbound	Renovación	Pidió descuento adicional
48	279	279	7	3	Stand-by	Alta	21674	0	0	2026-03-07 09:59:21	2026-03-07 21:59:21			15	False	False		Inbound	Nueva venta	Pidió descuento adicional
49	281	281	6	34	En negociación	Media	22210	0	0	2026-03-09 05:20:01	2026-03-10 04:20:01			5	True	False		Outbound	Upgrade	
50	282	282	6	60	Propuesta enviada	Baja	8561	0	0	2026-03-09 13:44:37	2026-03-10 00:44:37			0	False	False		Outbound	Nueva venta	Empresa en crecimiento, buen momento
51	283	283	6	15	Vendido	Media	38058	11417	37064	2026-03-04 11:33:34	2026-03-06 02:33:34	2026-03-29 11:33:34		20	False	False	Premium Package	Inbound	Renovación	Muy interesado, buen perfil
52	285	285	7	6	Propuesta enviada	Media	5411	0	0	2026-03-06 22:17:43	2026-03-07 06:17:43			0	False	False		Inbound	Renovación	Interesado en paquete premium
53	289	289	7	26	Propuesta enviada	Media	12407	0	0	2026-03-08 00:32:38	2026-03-09 15:32:38			20	False	False		Inbound	Re-compra	Esperando respuesta de dirección
54	299	299	6	47	Apartado	Alta	46724	14017	0	2026-03-08 11:39:22	2026-03-09 17:39:22			0	False	False		Referido	Upgrade	
