id_deal,id_lead,id_contacto,id_vendedor_ae,id_producto,fecha_pase_ventas,ventas_contacto_cliente,numero_toque_ae,toque_ae,fecha_primer_contacto_ae,status_venta,proyeccion,monto_cotizacion,monto_apartado,monto_cierre,fecha_reagenda,hora_reagenda,fecha_cierre,razon_perdida,descuento_pct,precio_1_year,precio_2_year,cross_selling,renovacion,es_recompra,valor_recompra,fecha_recompra,producto_recompra,es_cliente_activo,producto_cierre,fuente_origen,index_ae,tipo_transaccion,link_pago,soporte_pago,deal_code,notas_vendedor
27,161,161,6,26,8/02/2026 19:40:19,,,,9/02/2026 11:40:19,Perdido,Baja,,0,,,,3/03/2026 19:40:19,No responde,5,,,,,FALSE,,,,FALSE,,Inbound,,Cross-sell,,,,Compara con 2 competidores
28,167,167,6,48,7/02/2026 18:21:46,,,,7/02/2026 22:21:46,Perdido,Media,,0,,,,17/02/2026 18:21:46,Timing inadecuado,15,,,,,FALSE,,,,FALSE,,Referido,,Nueva venta,,,,Tiene urgencia por certificación
29,169,169,6,44,27/02/2026 11:22:26,,,,27/02/2026 17:22:26,Apartado,Media,,0,,,,,,0,,,,,FALSE,,,,FALSE,,Inbound,,Nueva venta,,,,Quiere cerrar antes de fin de mes
30,173,173,7,14,25/02/2026 12:03:04,,,,25/02/2026 22:03:04,Contactado,Media,,0,,,,,,0,,,,,FALSE,,,,FALSE,,Inbound,,Nueva venta,,,,Pidió descuento adicional
31,175,175,7,43,7/03/2026 2:49:21,,,,7/03/2026 23:49:21,En negociación,Alta,,0,,,,,,20,,,,,FALSE,,,,FALSE,,Outbound,,Cross-sell,,,,
32,181,181,7,1,7/03/2026 23:49:04,,,,8/03/2026 6:49:04,En negociación,Media,,0,,,,,,5,,,,,FALSE,,,,FALSE,,Partner,,Upgrade,,,,Referido de cliente satisfecho
33,188,188,7,12,6/03/2026 10:21:28,,,,7/03/2026 8:21:28,En negociación,Media,,0,,,,,,20,,,,,TRUE,,,,FALSE,,Outbound,,Renovación,,,,En proceso de evaluación interna
34,189,189,7,25,9/03/2026 1:12:07,,,,9/03/2026 17:12:07,Perdido,Media,,0,,,,7/04/2026 1:12:07,Se fue con otra solución,0,,,,,FALSE,,,,FALSE,,Inbound,,Cross-sell,,,,Tiene urgencia por certificación
35,192,192,6,18,11/03/2026 13:20:13,,,,12/03/2026 2:20:13,Reagendado,Baja,,0,,,,,,0,,,,,FALSE,,,,FALSE,,Inbound,,Upgrade,,,,
36,197,197,6,58,10/03/2026 21:52:35,,,,11/03/2026 7:52:35,En negociación,Media,,0,,,,,,0,,,,,FALSE,,,,FALSE,,Referido,,Renovación,,,,"Empresa en crecimiento, buen momento"
37,202,202,6,10,8/03/2026 18:12:32,,,,10/03/2026 5:12:32,Recien llegado,Alta,,0,,,,,,0,,,,,FALSE,,,,FALSE,,Outbound,,Nueva venta,,,,Interesado en paquete premium
38,212,212,7,45,9/03/2026 22:07:22,,,,10/03/2026 21:07:22,Perdido,Media,,0,,,,8/04/2026 22:07:22,Precio muy alto,10,,,,,FALSE,,,,FALSE,,Partner,,Upgrade,,,,"Empresa en crecimiento, buen momento"
39,223,223,7,23,5/03/2026 14:11:53,,,,5/03/2026 20:11:53,Propuesta enviada,Media,,0,,,,,,20,,,,,FALSE,,,,FALSE,,Inbound,,Re-compra,,,,"Muy interesado, buen perfil"
40,230,230,7,35,2/03/2026 14:34:19,,,,3/03/2026 7:34:19,Vendido,Baja,,0,,,,23/03/2026 14:34:19,,0,,,,,FALSE,,,,FALSE,Enterprise Bundle,Evento,,Nueva venta,,,,Quiere cerrar antes de fin de mes
41,233,233,7,58,7/03/2026 8:04:57,,,,7/03/2026 19:04:57,Vendido,Alta,,0,,,,22/03/2026 8:04:57,,0,,,,,FALSE,,,,FALSE,1 Year Membership,Inbound,,Nueva venta,,,,"Empresa en crecimiento, buen momento"
42,234,234,7,45,6/03/2026 2:52:09,,,,6/03/2026 8:52:09,Propuesta enviada,Media,,0,,,,,,10,,,,,FALSE,,,,FALSE,,Evento,,Re-compra,,,,Interesado en paquete premium
43,238,238,6,60,6/03/2026 20:50:54,,,,7/03/2026 5:50:54,En negociación,Baja,,0,,,,,,0,,,,,TRUE,,,,FALSE,,Webinar,,Cross-sell,,,,Referido de cliente satisfecho
44,240,240,6,15,8/03/2026 19:23:02,,,,9/03/2026 11:23:02,Vendido,Baja,,2517,,,,20/03/2026 19:23:02,,0,,,,,FALSE,,,,FALSE,2 Year Membership,Inbound,,Nueva venta,,,,"Muy interesado, buen perfil"
45,244,244,6,8,6/03/2026 19:58:09,,,,7/03/2026 7:58:09,Propuesta enviada,Baja,,0,,,,,,15,,,,,FALSE,,,,FALSE,,Partner,,Nueva venta,,,,Tiene urgencia por certificación
46,245,245,7,25,5/03/2026 6:12:19,,,,5/03/2026 20:12:19,En negociación,Alta,,0,,,,,,0,,,,,FALSE,,,,FALSE,,Referido,,Cross-sell,,,,Compara con 2 competidores
47,251,251,6,18,9/03/2026 3:30:59,,,,9/03/2026 21:30:59,Vendido,Baja,,0,,,,7/04/2026 3:30:59,,10,,,,,FALSE,,,,FALSE,Premium Package,Partner,,Nueva venta,,,,"Empresa en crecimiento, buen momento"
48,252,252,7,12,5/03/2026 2:09:01,,,,6/03/2026 10:09:01,Propuesta enviada,Baja,,0,,,,,,20,,,,,FALSE,,,,FALSE,,Inbound,,Nueva venta,,,,Esperando respuesta de dirección
49,261,261,6,51,8/03/2026 14:14:34,,,,10/03/2026 4:14:34,Perdido,Baja,,0,,,,29/03/2026 14:14:34,No era el perfil,0,,,,,FALSE,,,,FALSE,,Evento,,Re-compra,,,,Compara con 2 competidores
50,262,262,6,4,9/03/2026 16:45:32,,,,11/03/2026 9:45:32,Propuesta enviada,Baja,,0,,,,,,0,,,,,FALSE,,,,FALSE,,Inbound,,Re-compra,,,,Referido de cliente satisfecho
51,264,264,6,22,4/03/2026 0:02:22,,,,4/03/2026 19:02:22,Stand-by,Baja,,0,,,,,,10,,,,,FALSE,,,,FALSE,,Outbound,,Cross-sell,,,,"Muy interesado, buen perfil"
52,270,270,6,34,4/03/2026 19:30:10,,,,5/03/2026 13:30:10,Stand-by,Alta,,0,,,,,,10,,,,,FALSE,,,,FALSE,,Referido,,Nueva venta,,,,
53,271,271,7,2,7/03/2026 2:52:33,,,,7/03/2026 23:52:33,En negociación,Alta,,0,,,,,,20,,,,,TRUE,,,,TRUE,,Referido,,Nueva venta,,,,
54,284,284,6,29,10/03/2026 23:15:02,,,,11/03/2026 15:15:02,Vendido,Baja,,13124,,,,1/04/2026 23:15:02,,15,,,,,FALSE,,,,FALSE,1 Year Membership,Evento,,Re-compra,,,,En proceso de evaluación interna
55,286,286,7,11,6/03/2026 10:37:41,,,,7/03/2026 8:37:41,Recien llegado,Alta,,0,,,,,,10,,,,,FALSE,,,,FALSE,,Referido,,Renovación,,,,Interesado en paquete premium
56,287,287,7,33,5/03/2026 19:35:01,,,,6/03/2026 10:35:01,Propuesta enviada,Baja,,0,,,,,,20,,,,,TRUE,,,,FALSE,,Inbound,,Renovación,,,,"Muy interesado, buen perfil"
57,290,290,7,6,7/03/2026 9:19:09,,,,8/03/2026 11:19:09,Vendido,Media,,4538,,,,3/04/2026 9:19:09,,15,,,,,FALSE,,,,FALSE,Enterprise Bundle,Outbound,,Nueva venta,,,,Pidió descuento adicional
58,298,298,6,24,6/03/2026 1:23:27,,,,7/03/2026 4:23:27,Vendido,Media,,5896,,,,3/04/2026 1:23:27,,20,,,,,FALSE,,,,FALSE,1 Year Membership,Referido,,Nueva venta,,,,Interesado en paquete premium
59,299,299,7,51,9/03/2026 11:27:31,,,,11/03/2026 2:27:31,Vendido,Alta,,0,,,,30/03/2026 11:27:31,,20,,,,,FALSE,,,,FALSE,2 Year Membership,Inbound,,Nueva venta,,,,
60,2,2,,,4/03/2026 15:10:33,,,,,Recien llegado,,,,,,,,,,,,,,,,,,,,,,,,,,
61,9,9,,,4/03/2026 15:11:08,,,,,Recien llegado,,,,,,,,,,,,,,,,,,,,,,,,,,
62,15,15,,,4/03/2026 15:13:29,,,,,Recien llegado,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3,3,,,4/03/2026 15:16:04,,,,,Recien llegado,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4,4,,,5/03/2026 13:54:18,,,,,Recien llegado,,,,,,,,,,,,,,,,,,,,Membresía Básica,,,,,,prueba diana 4
65,8,8,,,5/03/2026 15:35:12,,,,,Recien llegado,,,,,,,,,,,,,,,,,,,,Consultoría,,,,,,Prueba alberto 2
66,1,1,5,,5/03/2026 16:26:12,Si,2,,9/03/2026 0:00:00,En negociación,Alta,2000,3000,4000,2026-03-10,1:38,2026-03-11,No hemos perdido la venta,20%,un año (otra vez),otro año,Si,Por si hay renovacion,Si,1000,2026-03-14,Recompra de producto,Si,Servicio de cierre,El origen (como la pelicula),Hola Index,Zelle ps,Aqui deberia ir un link,Un soporte,codigo ,Otras notas de prueba del AE
67,6,6,,,6/03/2026 5:20:22,,,,,Recien llegado,,,,,,,,,,,,,,,,,,,,Membresía Premium,,,,,,prueba sofia
68,7,7,,,6/03/2026 10:06:39,,,,,Recien llegado,,,,,,,,,,,,,,,,,,,,Software CRM,,,,,,prueba monica
